Sentences,Frame
"Corbett did not mind ; he broke off his constant walking for a meal of fish broiled in milk and herbs , then returned to his task . ",Apply_heat
"I am not such a fathead as to attempt to describe the pleasure of eating , but I would draw your attention to the vegetable soup cooked with a hambone ( le garbure ) , to the river trout braised in Henri IV 's favourite Juranon wine , the grilled breast of duck . ",Apply_heat
This winter Koffmann has been reinterpreting Cabessal de lievre : instead of stuffing and braising the hare he lightly roasts the fillet and laps it in a deep spicy sauce grand veneur set off by a heap of nutty pates . ,Apply_heat
"In the days when Pomiane was writing , chefs did not dream of braising vegetables -- lettuces , leeks , Belgian endives , for example -- without a preliminary blanching .",Apply_heat
"After adding water , the beef can be barbecued or fried .",Apply_heat
"However , for the epitome of taste , they should be barbecued .",Apply_heat
I think it has a fragrance reminiscent of Darjeeling tea while it is simmering .,Absorb_heat
"Horsley passed the test and went off to see Thornton , who was still simmering and had nothing but dire warnings for him .",Absorb_heat
"Allow to simmer for 4 minutes and then , using a ladle , very carefully strain the liquid through a conical strainer covered with a muslin cloth .",Absorb_heat
She was still quietly simmering from her interview with Naylor Massingham last Monday .,Absorb_heat
"Better though that he simmered for a while , Carrie thought as she stirred the greens and tested the potatoes with a fork .",Absorb_heat
"Bring to the boil and allow to simmer until cooked , then add the crème de cassis to taste .",Absorb_heat
"Stir it softly over a slow fire , and when it begins to simmer , take it off , and by degrees stir it into the gooseberries .",Absorb_heat
"Later , when she went to the dining-room , Lucy was still simmering with resentment , and she knew that unless she pulled herself together it would begin to show .",Absorb_heat
Leave to simmer gently until the mixture is of a syrupy consistency .,Absorb_heat
But it had been simmering for a couple of years before that .,Absorb_heat
"When it was simmering slowly in the Aga she went into Penry , who was searching distractedly through piles of medical tomes .",Absorb_heat
It 's the latest twist in the lengthy club versus country row which has simmered for the last two seasons .,Absorb_heat
Bring it to the boil and let it simmer for 5 minutes .,Absorb_heat
"There was a darkness in his eyes , anger simmering just beneath the surface .",Absorb_heat
"Cover and simmer the chicken for 15-20 minutes , until tender . ",Apply_heat
Simmer the chicken for a further 10-15 minutes until the chicken is tender . ,Apply_heat
"Simmer the aubergines in a large pan of water until just cooked , about 10min , or cook , covered , in the microwave for 7-8min or until just tender . ",Apply_heat
Simmer aubergine in boiling water for 8 minutes . ,Apply_heat
"Gently simmer the courgettes , mushrooms , onion and herbs in water for 10 minutes . ",Apply_heat
"Simmer the onion , garlic , celery leaves and tomatoes in the fish stock for 10 minutes then add the swordfish . ",Apply_heat
Natural stomachs are not often used now and the casing should be well pricked before the haggis is simmered in a pan of water for 30-40 min . ,Apply_heat
"Crammed with sausage , potatoes , eggs , bread and ham , the pig 's innards are simmered in salt water for three hours . ",Apply_heat
Pass through a sieve and simmer the juice gently to remove most of the water . ,Apply_heat
"Simmer the onion and garlic in the tomatoes , herbs and black pepper . ",Apply_heat
Add parsley and simmer for 15 mins . ,Apply_heat
Boil for 5 minutes on gentle heat then add mushroom -- and simmer in a covered saucepan for a further 7 minutes . ,Apply_heat
Simmer gently until apple has softened . ,Apply_heat
"A dish of apples stewed with dates , a cold , sago pudding if you were desperate and wanted your ribs sticking together . ",Apply_heat
"Basque food is traditionally based more on sauces than stews , although you should look out for marmitako , tunny fish stewed with tomatoes , potatoes , green peppers and bread . ",Apply_heat
"Melt the butter in a saucepan , add the nettles and stew gently for about 10 minutes . ",Apply_heat
"The secret is then only to stew the squid for another five minutes or so , to remove the squid and leave the rest of the ingredients to simmer and reduce until a thick black sauce is produced . ",Apply_heat
Or they might be mixed with onion and garlic softened in butter then stewed with carrots and rosemary to go with roast lamb for lunch . ,Apply_heat
Pour the remaining oil in a frying pan and saute the onions for about 8 minutes or until golden . ,Apply_heat
"Heat the oil in a non-stick pan and saute the garlic , onion , mushrooms , peppers and courgettes . ",Apply_heat
"Heat the oil in a large frying pan , add the chicken pieces and saute over medium heat until browned lightly on both sides . ",Apply_heat
"Brown sausages quickly in the oil , remove from pan , and saute the onions without browning . ",Apply_heat
"Now , as the waiter served them both with salmon poached in white wine , dressed with a spicy sauce and served with salad and new potatoes , she felt her mouth watering in anticipation of the meal . ",Apply_heat
Poach the salmon in the white wine and water for 5 minutes . ,Apply_heat
"If necessary , poach them in a pan which is just large enough to hold them . ",Apply_heat
"Poach them in apple juice or water and sugar ( ie syrup ) , or even the Gewürztraminer , for perhaps ten minutes at most . ",Apply_heat
"Turn down the heat so that the water simmers gently , and poach spoonfuls of meringue in this for about 60 seconds each side . ",Apply_heat
"To taste for seasoning , either fry a teaspoonful of the pate or poach it in simmering water ( it will taste less strong when cold ) . ",Apply_heat
"Poach remaining apples for two mins in enough water to cover , then slice thinly and fan across the puree . ",Apply_heat
Poach the smoked haddock with the onion in water . ,Apply_heat
"Meanwhile , in a wok or a large pan , gently poach the chopped celery , onion and garlic in the wine/water for 5 minutes . ",Apply_heat
"It may be poached in water or stock , but I prefer to cook it in the microwave , then coat it with the black butter . ",Apply_heat
"To pickle pears , poach 450g ( 1lb ) peeled firm pears in 300ml ( ½ pint ) water , with 60ml ( 4tbsp ) honey and 15ml ( 1 level tbsp ) white-wine vinegar until tender . ",Apply_heat
Poach the chopped onion and garlic in the 150 ml wine/ water for 5 minutes . ,Apply_heat
The fillets are wrapped in cling film with garden herbs and poached for six to eight minutes . ,Apply_heat
"Poach , boil or scramble the eggs , or make into an omelette in a non-stick pan with a minimum of low-fat margarine . ",Apply_heat
Boil eggs and decorate them with paints and put tufts of wool on for hair . ,Apply_heat
"Dinner I boil myself just a few potatoes , and I eat them with a piece of bread ",Apply_heat
Boil the potatoes until well done and mash with a little water to achieve a soft consistency . ,Apply_heat
"You can boil meat , potatoes , pasta or rice , make a stew or soup in the base pan , steam your vegetables in the steamer and simmer your gravy or sauce in the porringer on top . ",Apply_heat
"Then steam or boil the vegetables in a small amount of salted water , before draining and tossing them in melted butter . ",Apply_heat
Boil all the vegetables together in a large saucepan until tender . ,Apply_heat
"1 Boil the rice for 3 minutes in water , then drain . ",Apply_heat
They boil them in an iron saucepan . ,Apply_heat
Boil the pasta in plenty of boiling salted water . ,Apply_heat
"Do they still boil cabbage to a soupy pulp in Britain , and pour the vitamin C down the drain ? ",Apply_heat
"By 10am , the potatoes have been boiled and roasted and stored in insulated containers . ",Apply_heat
Add the beans to a large saucepan of boiling water and boil rapidly for 10min . ,Apply_heat
The hallway smelt of boiled cabbage and old rag mats .,Apply_heat
"Our Royal menu consisted of : breakfast , one pot of wish-wash called ` tea "" ; lunch , a pot of dry vegetables boiled in water , one pot of vermicelli boiled in water .",Apply_heat
That evening I roasted the chestnuts I 'd picked ,Apply_heat
"The next time you roast duck or chicken , cook thick slices of pineapple in the pan with lashings of black pepper . ",Apply_heat
"Roast the meat 15-20 minutes , when it will still be pink . ",Apply_heat
Roast for about 1 hour until the meat is pinkish . ,Apply_heat
"Roast the beef for 20min at 230°C ( 450°F ) mark 8 to seal , basting occasionally . ",Apply_heat
Father was sitting cross-legged by the remains of a fire on which he had roasted the leg of a small deer . ,Apply_heat
"` Well , Boyo , it 's either this or that , "" said Taff , pointing to the alternative -- a large piece of meat that had been roasted over a fire and looked most unappetising . ",Apply_heat
Then the grain was roasted in the kilns to produce malt for delivery to the breweries . ,Apply_heat
She roasted a chicken and made a fresh fruit trifle for supper as it was my last night . ,Apply_heat
