Sentences,Frame
"Bake the potatoes , then open them lengthways . ",Apply_heat
Bake the soufflés for 12 minutes . ,Apply_heat
Bake the aubergines in a preheated 180°C/350°F/Gas 4 oven for half an hour or until limp and lightly browned . ,Apply_heat
Bake the tart on a preheated baking sheet at 350°F ( 180°C ) gas mark 4 for 40–45 min until the filling is creamily set . ,Apply_heat
"Bake spanakopitta for about 40 minutes , then increase the heat for another 5 minutes to crisp the top . ",Apply_heat
Bake the elioti for about 45 minutes or until the base sounds hollow when tapped . ,Apply_heat
"The mix is baked for 20 minutes in moulds and served with a vegetable cream sauce , lentils , and sautéed mushrooms . ",Apply_heat
"Bake for 2–2 ½ hours , or until a skewer inserted into the cake comes out cleanly . ",Apply_heat
Bake for 12-15 minutes until barely golden . ,Apply_heat
Bake at 180C/350F/Gas 4 for 30 minutes . ,Apply_heat
The way to get the maximum flavour out of dried apricots is to bake them slowly in the oven instead of stewing them .,Apply_heat
"Pour into the prepared tin , level carefully and bake in a preheated 180?C ( 350?F/Gas Mark 4 ) oven for 12-15 minutes .",Apply_heat
Cover and bake in a preheated 200?C/400?F/Gas 8 oven for 15-20 minutes .,Apply_heat
"The bread would then be slipped in , the oven door sealed , and when the oven cooled , the bread would be baked . ",Cooking_creation
It is also illegal in Norway for a bakery to bake bread on a Saturday or Sunday . ,Cooking_creation
Almost all the food is grown at camp ; they bake their own bread and the food is not only 100% nutritious but very delicious . ,Cooking_creation
Rosalind bakes her own bread and croissants and will prepare an evening meal with advance notice . ,Cooking_creation
And she baked some bread with the millet flour that she had brought from her own garden . ,Cooking_creation
Some larger stores sell special tins of all the numbers so you can bake a cake in the shape of your child 's age . ,Cooking_creation
"Believing in economy , Miss Lodsworth had already baked rock and fairy cakes and spread hundreds of sandwiches with crusts still on with Marmite and plum jam which was cheaper than strawberry . ",Cooking_creation
And she would bake a chocolate mousse torte . ,Cooking_creation
"And for tomorrow 's Sunday dinner , she was going to roast a leg of mutton and bake an apple pie . ",Cooking_creation
"I baked some currant buns for you . "" ",Cooking_creation
The wife of Senator Arlen Specter even baked Ali a double chocolate-mousse pie . ,Cooking_creation
Louise had baked a pie for him and was bringing a new pair of sheets from the airing cupboard . ,Cooking_creation
"In Spain , breads flavoured with cinnamon and dried fruit are baked at Easter , and some contain hard-boiled eggs , according to Elizabeth Luard 's European Festival Food . ",Cooking_creation
"A special birthday cake was baked to mark the occasion , which was held in Graham School . ",Cooking_creation
"A jubilee cake was baked , and the head girl Laura Berry and the head boy , Brian Quinn , presented the Bishop with a memento of the occasion . ",Cooking_creation
"Imported dried cod ( bacalhao ) is the Portuguese national dish ; several varieties are available , usually baked .",Cooking_creation
"Time and again he had asked her to cook them for his supper , when she could at least bake them in a hot oven .",Cooking_creation
"Special theme days have been introduced to all Abbey National sites , and the office staff have expressed their appreciation at our initiatives such as offering turkeys at Christmas , and baking decorated cakes for special occasions .",Cooking_creation
"Loretta , who could not remember when she had last baked a cake , was quite taken aback .",Cooking_creation
"Until now , you could n't bake with reduced fat spreads .",Cooking_creation
"I hate cooking , and I 've never tried to bake in my life .",Cooking_creation
7.30 pm : Complete and bake the batch of Pizzettas .,Cooking_creation
"Everything , including peeling vegetables , baking bread and butchering meat , is done on-site .",Cooking_creation
"For the older ones this meant baby minding , potato peeling , biscuit baking .",Apply_heat
There are plenty of cake tins in this month 's equipment feature on page 68 to inspire creative cake baking .,Apply_heat
"When the elder members of the family began to die , Mrs Thwaites did most , if not all of the baking and catering for the funerals .",Apply_heat
"The village was too peopled by women , fit only for the baking of cakes and arranging tombola stalls .",Apply_heat
"Press out the excess moisture , season , and line a baking dish with the spinach .",Cooking_creation
"Put the croutons on a baking sheet and cook them near the top of the oven for 15 minutes at gas no. 3 , 330ḞF .",Cooking_creation
"Pour the oil into an ovenproof baking dish and add the thyme , rosemary , sage , parsley , bay leaf , celery and unpeeled garlic cloves .",Cooking_creation
There was a round of dainty sandwiches and three small dry cakes left over from Cook 's Friday baking session .,Cooking_creation
"For the older ones this meant baby minding , potato peeling , biscuit baking .",Cooking_creation
So the fire is burning round the clock seven days a week as the women and their children do the family baking .,Cooking_creation
"The village was too peopled by women , fit only for the baking of cakes and arranging tombola stalls .",Cooking_creation
"When the elder members of the family began to die , Mrs Thwaites did most , if not all of the baking and catering for the funerals .",Cooking_creation
"` Do you do any baking , "" she wonders , all innocent , ` for those friends of yours I met last week ? """,Cooking_creation
That evening I roasted the chestnuts I 'd picked ,Apply_heat
"The next time you roast duck or chicken , cook thick slices of pineapple in the pan with lashings of black pepper . ",Apply_heat
"Roast the meat 15-20 minutes , when it will still be pink . ",Apply_heat
Roast for about 1 hour until the meat is pinkish . ,Apply_heat
"Roast the beef for 20min at 230°C ( 450°F ) mark 8 to seal , basting occasionally . ",Apply_heat
Father was sitting cross-legged by the remains of a fire on which he had roasted the leg of a small deer . ,Apply_heat
"` Well , Boyo , it 's either this or that , "" said Taff , pointing to the alternative -- a large piece of meat that had been roasted over a fire and looked most unappetising . ",Apply_heat
Then the grain was roasted in the kilns to produce malt for delivery to the breweries . ,Apply_heat
She roasted a chicken and made a fresh fruit trifle for supper as it was my last night . ,Apply_heat
"Roast for 20 minutes , then reduce the temperature of the oven to 200C/400F/Gas 6 and roast for 15 minutes per 450g/1lb . ",Apply_heat
Skin the peppers by roasting over a gas flame or under the grill until the skin blisters black . ,Apply_heat
"2 Meanwhile , grill the bacon chops for 3-4 minutes on each side , cut into chunks and set aside . ",Apply_heat
Grill the bacon until crisp and snip into small pieces . ,Apply_heat
