Sentences,Frame
"The modern dock system at Bristol was largely the work of William Jessop early in the nineteenth century , with later alteration and expansion by Brunel ( q.v . ) . ",Cause_expansion
"We now have the fact of Soviet military superiority , and President Reagan 's theory that the aim of Soviet policy is expansion by military means . ",Cause_expansion
"As a result of this , multinationals and large companies must reappraise their plans for expansion by cross-border acquisition and merger in the light of EC competition policy . ",Cause_expansion
These steps into a wider world were part of a great process of expansion by western Europe that had already been going on for decades . ,Cause_expansion
"Policies with a growth motivation , for example , expansion by take-over , will normally on their face give no clue that their purpose is something other than the maximisation of profits . ",Cause_expansion
To what extent will a more competitive European sector give opportunity for further expansion by competitors outside the Community ? ,Cause_expansion
"Expansion by organic growth is also important , developing existing business areas , evaluating market knowledge and demonstrating confidence in the products . ",Cause_expansion
"Miss Gawel replaces Janet Lawrenson who becomes business development manager , responsible for the company 's expansion in the home counties , North-west of London . ",Cause_expansion
Expansion in output was fuelled by growing external demand and generally expansive domestic economic policies . ,Cause_expansion
Real economic growth rates can be used to assess the expansion in a country 's output of goods and services . ,Cause_expansion
The Empire 's expansion in central Europe was a much more qualified blessing . ,Cause_expansion
"Deep-sea fishing had entirely disappeared , but there was some expansion in the inshore sector , much of it in fishing for prawns . ",Cause_expansion
"It recommended a massive expansion in higher education ( from 216,000 places in 1962-3 to 390,000 in 1972-3 and 560,000 by 1980 ) . ",Cause_expansion
"With the opening of a new regional office in Glasgow , CCG is to target the west of Scotland more closely , and continue the company 's steady expansion in catering management . ",Cause_expansion
"Both were essentially concerned with the expansion of adult educational opportunities irrespective of the providing body , a cause in which both were legitimately involved as their duties were not prescribed in detail . ",Cause_expansion
The very rapid expansion of the education system has left support systems running to catch up . ,Cause_expansion
It was the failure of this attempt which led to the gradual expansion of the regular police into rural areas in the first half of the twentieth century . ,Cause_expansion
"The Benelux states were hostile to the suggestion , because they hoped that a geographical expansion of EEC membership , including British participation , would occur before concrete political plans were discussed . ",Cause_expansion
"The pace of her expansion was matched only by Russia 's , but Russia 's was on a much smaller scale and depended on foreign capital , some of it German . ",Cause_expansion
How are Russia 's massive expansion and the remorseless rise in her international prestige in the century and a half before the Crimean War to be explained ? ,Cause_expansion
Factory expansion kept up the demand for machines and power which fed the heavy industries . ,Cause_expansion
"As a result , the commission has published papers looking at future forestry policy , and putting a fresh case for forestry expansion . ",Cause_expansion
"Synthesis was achieved only after some years , and only by methods which did not justify expansion to an industrial scale . ",Cause_expansion
It is also proposed that widescale improvements and expansions to existing roads should take place in the next decade . ,Cause_expansion
"It led to a period of sharp retrenchment and redundancies , a situation that at the time was very foreign to ICi which had been accustomed to unrestricted expansion in practically everything it undertook . ",Cause_expansion
