Sentences,Frame
Midwinter waved his baton at me .,Cause_to_move_in_place
On the steps up to the plane a group of irate Peruvians waved tickets as the embattled stewardess tried to explain that there were no seats .,Cause_to_move_in_place
"Fans waved ` Fantastico Alberto '' banners stored from the glory days of three years ago , when he won ten times in the season , beginning here at Sestriere .",Cause_to_move_in_place
"` Estella waved a blue one , and I had a red one , and Miss Havisham waved one with little gold stars on , out of the carriage window . ''",Cause_to_move_in_place
Quigley waved the paper over my face .,Cause_to_move_in_place
All lined the route and waved their flags,Cause_to_move_in_place
"Senior officials of the African National Congress have been urging Mr Mandela to announce an official separation from his wife since her latest outburst in which she allegedly threatened and waved a pistol at Mrs Xoliswa Falati , her co-accused in last year 's trial for kidnap and assault .",Cause_to_move_in_place
"On the top of this wall stood Harry Dunstaple , shouting and waving his sabre as if conducting an orchestra , shouting for the men to hasten , for the Cutcherry must be blown up before the charging enemy could reach it and disturb the train .",Cause_to_move_in_place
Worst part was watching power lines waving above my head and no way to drive away .,Moving_in_place
"Then as things got rougher , we ran for the door and spent the next few minutes outside watching the brick sidewalk under our feet oozing up and down , and the flowers waving in an eerie rhythm .",Moving_in_place
"For the second time that day , Corbett was shaken awake , an insistent voice calling his name . ",Cause_to_move_in_place
Jehan shook her awake . ,Cause_to_move_in_place
The next morning Benjamin shook me awake . ,Cause_to_move_in_place
Fedorov clambered aboard the coach and shook the reins . ,Cause_to_move_in_place
Replace the bottle stopper and shake the solution thoroughly . ,Cause_to_move_in_place
"Frustrated , Delaney shook Lawton by the arm . ",Cause_to_move_in_place
I shook my sand-filled ears by the lobes and listened . ,Cause_to_move_in_place
Luke reached out and shook her gently by the shoulders . ,Cause_to_move_in_place
"Duvall was shaking him by the sleeve , bringing him back . ",Cause_to_move_in_place
"The words were enough to make him explode with anger , and , turning swiftly to grip her shoulders , he shook her with force , glaring down into her face . ",Cause_to_move_in_place
"She spread hay over him for warmth , but it seemed as if the fever would shake him to pieces . ",Cause_to_move_in_place
"` Good morning , "" she greeted huskily , shaking the boots before putting them on . ",Cause_to_move_in_place
"Athelstan shook himself , dressed , and went along to the kitchen to beg from a startled maid a bowl of hot water , a clean napkin and some salt with which to scrub his teeth . ",Cause_to_move_in_place
"The wind was screaming and shaking the big windows , and Thomasin Darling had to shout . ",Cause_to_move_in_place
Again she was shaken by uncontrollable spasms . ,Cause_to_move_in_place
"When the time comes to recover the gold , the ripples are removed and the carpet is shaken . ",Cause_to_move_in_place
The dog gets up and shakes his ears noisily . ,Cause_to_move_in_place
Vasili shook her shoulders violently then slapped her across the face . ,Cause_to_move_in_place
""" Why , sir , you 've got me the very evidence I want , "" said the inspector warmly , shaking my friend by the hand .",Cause_to_move_in_place
The earth shook again . ,Moving_in_place
"Close beside them an older coolie , stretched full-length on the earth , was shaking and moaning uncontrollably with malarial fever . ",Moving_in_place
Dimity covered her face with her hands and her thin shoulders shook . ,Moving_in_place
"The first day on the set he was hung-over and very vulnerable , and his hands were shaking . ",Moving_in_place
"His hands shook , but he clenched them to control their trembling . ",Moving_in_place
Léonie 's knees shook . ,Moving_in_place
My heart was racing and my knees shook uncontrollably . ,Moving_in_place
She was shaking violently and leant against the door for support . ,Moving_in_place
"He was shaking from the shock of the recoil of the gun , which had sent him flying backwards . ",Moving_in_place
WARRINGTON General Hospital consultant Barry Taylor shook with emotion as he described the savage injuries of the bomb wounded . ,Moving_in_place
He shook during the interviews and said he had a history of mental illness . ,Moving_in_place
"Carradine was shaking , holding onto my desk with both hands to keep steady . ",Moving_in_place
"Her shoulders shook convulsively and she rolled to her side on the bed , curling up . ",Moving_in_place
"When your outer thigh starts to shake or hurt , stop . ",Moving_in_place
Becky continued shaking as she began to speak again . ,Moving_in_place
"6:50 a.m. CAROLG : I was just sitting down to meet with some new therapy clients , a couple , and the building started shaking like crazy .",Moving_in_place
This building shook like hell and it kept getting stronger .,Moving_in_place
"This time , it just got stronger and then the building started shaking violently up and down as though it were a child 's toy block that was being tossed .",Moving_in_place
My back is still in knots and my hands are still shaking .,Moving_in_place
I think a few of the aftershocks might just be my body shaking .,Moving_in_place
"Lamps swung above their heads , red and green and white in the warm darkness . ",Moving_in_place
Dad steadied the bottom of the ladder but it still swung about a bit which really frightened me . ,Moving_in_place
An inn sign swung to and fro in the wind . ,Moving_in_place
"The precession of the satellite 's orbit -- the way it swings slowly round the Earth -- will mean that successive 30o-segments will overlap by 15o , so assisting the procedure of confirming sources . ",Moving_in_place
"Ships are advised to give the islands a wide berth , as the seabed is constantly shifting and massive magnetic anomalies cause compasses to swing wildly round the rose . ",Moving_in_place
"Caroline hesitated , then took a step towards the fireplace , but Nicolo Sabatini swung towards her . ",Moving_in_place
"Amused by this demonstration of Portuguese laissez-faire , Ashley watched for a minute or two , then swung away to begin her shopping . ",Moving_in_place
"The door swung back slowly , silently , and he went in . ",Moving_in_place
It was as much as it could do to raise a whimper of greeting as the tail swung laboriously back and forth . ,Moving_in_place
"Lissa switched on the light , and Rebecca swung round sharply to face her , shock startling a gasp on her lips , the torch falling with a muffled thud . ",Moving_in_place
"When the door quietly swung to , she paid it no mind . ",Moving_in_place
"Inside the shrine the bells start ringing , rhythmically clanging as they swing up and down , round in an arc as the cord is pulled and released . ",Moving_in_place
A dim lamp swung over the entrance where three steps led up into the foyer . ,Moving_in_place
As he loosed the mainsheet the sail swung across to its new position . ,Moving_in_place
"The heavy boom swung across , catching him high on the left side of his forehead . ",Moving_in_place
"Far above in the belfry , the huge bronze bells , mounted on wheels , swing madly through a full 360 degrees , starting and ending , surprisingly , in the inverted , or mouth-up position .",Moving_in_place
"On his fifth birthday , he climbed a tall tree until he reached twig level , where he sat contentedly as the wind rocked him to and fro .",Cause_to_move_in_place
"At last Jehan began to cry , and Burun rocked him and held him close .",Cause_to_move_in_place
She rocked him gently and he nestled close and put his thumb in his mouth .,Cause_to_move_in_place
"I tried rocking the wheelbarrow back and forth , then jerking .",Cause_to_move_in_place
"Baking , cooking , rocking the babies &hellip; whatever needs done .",Cause_to_move_in_place
"These , when I passed them , I saw to be sitting or kneeling beside cradles , rocking them , or singing , or gazing intently .",Cause_to_move_in_place
"He cried on Carolyn 's shoulder , through pure discomfort and weariness , she believed , rocking him automatically and feeling like crying too .",Cause_to_move_in_place
"How it had rocked it , she was n't quite sure .",Cause_to_move_in_place
"It 's a flimsy structure , built up on supports , and it was really rocking around .",Moving_in_place
The needles are usually left in for about 15 minutes and are vibrated at intervals to achieve the required effect . ,Cause_to_move_in_place
The clamped end of the system is then vibrated laterally at a given frequency v and the amplitude of the vibration induced at the free end of the sample is recorded . ,Cause_to_move_in_place
"Where bricks are bedded in sand , the hardcore blinding has to be well vibrated , or the bedding sand will disappear into the hardcore when the bricks are vibrated . ",Cause_to_move_in_place
"When the edging to the path is complete , the hardcore is rolled or vibrated to consolidate it and provide a firm base for the surface material . ",Cause_to_move_in_place
"He did it by gently vibrating the soil , coaxing the worms to the surface . ",Cause_to_move_in_place
You can start vibrating them as soon as your have laid a few metres . ,Cause_to_move_in_place
"However , if you watch house martins you will see that they do not simply ` plonk "" their mud pellets onto the wall ; instead , they place them in position while rapidly vibrating the head . ",Cause_to_move_in_place
Some have also developed special muscles so that they can vibrate the swim-bladder and produce a loud drumming noise . ,Cause_to_move_in_place
"The male garden spider Araneus diadematus will vibrate a strand of the female 's web as he approaches her , to let her know that he is not just another small insect caught in the web . ",Cause_to_move_in_place
"From one of the other rooms came the harsh sounds of Guns'N'Roses , the heavy guitar making the walls vibrate . ",Moving_in_place
The staircase walls seemed to vibrate with the sound of it . ,Moving_in_place
These levels vibrate at different frequencies . ,Moving_in_place
We might say we perceive them as separate because they vibrate at different frequencies . ,Moving_in_place
"The thunder thumped from some nearer point , the glass vibrated in the window , and Cameron came out of his doze to find Menzies grinning quizzically at him and offering him some more claret . ",Moving_in_place
Literally everything in the room starts vibrating to the beat of the bass drum . ,Moving_in_place
"Penry stared at her incredulously , then to her relief the tension drained from his face before her eyes as his muscular , beautiful torso began to vibrate with laughter . ",Moving_in_place
"When we listen to music , for example , our eardrums vibrate with the rhythm of changing air pressure . ",Moving_in_place
"He walked across the floor and , although he caused little sound , the whole room vibrated with his weight . ",Moving_in_place
"He squatted down , his clothes vibrating against his body , and injected something into Ari 's neck . ",Moving_in_place
"The great compound curves which swept out from the guard vibrated under his hand , and the bowstring produced a low musical sound . ",Moving_in_place
"By impacting with neighbouring particles they vibrate about a locus , and only appear to remain in a fixed position . ",Moving_in_place
"At any temperature , a real crystalline solid is in a state of dynamic unrest , with the various electrons and atoms in its lattice vibrating about their mean positions . ",Moving_in_place
John felt the hull of the yacht vibrating as the tanker approached . ,Moving_in_place
In fact the atoms in diamond can vibrate at about 40 x 10 Hz . ,Moving_in_place
"The light , strongly-bonded carbon atoms can vibrate at unusually high frequencies , so the frequency of the radiation absorbed is very much higher for diamond than for other materials . ",Moving_in_place
The roof is vibrating . ,Moving_in_place
Here are some sentences in which two consonant sounds are identical to look at but sound slightly different because one is voiced ( the vocal cords vibrate ) and the other is unvoiced . ,Moving_in_place
"The floor of the cockpit was vibrating , the motors were screaming . ",Moving_in_place
The frame of the bunk vibrated . ,Moving_in_place
8:01 a.m. HLR : Judy and I were in our back yard when the lawn started rolling like ocean waves .,Moving_in_place
"Winston turned a switch and the voice sank somewhat , though the words were still distinguishable .",Cause_to_move_in_place
"A key turned in a lock , and as he passed in there was a curious scuffling noise from within .",Moving_in_place
"But it was only the sensational Jamie , twirling a diamante choker on his index finger . ",Cause_to_move_in_place
"He twirled her again , hands clapped a rhythm , and faces glowed briefly as pipes were lit . ",Cause_to_move_in_place
He twirls the stick in his hand and crosses his legs . ,Cause_to_move_in_place
"The fat undertaker had closed down the tailgate of the hearse and stood about on the gravel , twirling his keys . ",Cause_to_move_in_place
He twirled his empty glass in his fingers . ,Cause_to_move_in_place
