Sentences,Frame
"` I just hate it , "" he growled , drooling between yellow teeth , ` when people misuse the suffix mega . "" ",Communication_noise
"` He 'd better bloody not , "" Bragg growled . ",Communication_noise
"` Fuck off , Richie , "" he growled . ",Communication_noise
"` Just stand back , "" he growled , as he lifted himself painfully to his feet . ",Communication_noise
"` If I had any sense , I 'd dump you overboard , "" he growled . ",Communication_noise
"` Listen carefully , signorina , "" he growled , ` because I have no intention of saying any of this again . ",Communication_noise
"` And you 've not had your throat cut yet , "" growled Michael . ",Communication_noise
"` They did that anyway , smartass , "" growled Brown . ",Communication_noise
"` Enough of that , "" growled Freddy Ward . ",Communication_noise
"` Move over , Rizzi , "" growled a familiar voice . ",Communication_noise
"He growled an apology , gave the poor girl a miserable parody of a smile and turned his attention to their patient . ",Communication_noise
"Surkov growled his irritation , but Rozanov seemed to enjoy our floundering . ",Communication_noise
"He growled something about my septic technique . "" ",Communication_noise
"` Put him in the car , "" growled Brown when he had recovered his self-control . ",Communication_noise
"He just growled something about having walked into a door . "" ",Communication_noise
"` Leave her to us , my lord , "" growled a voice in Isabel 's ear . ",Communication_noise
"He grew morose after that and growled at the customers , it seems -- so most took themselves to the next village for their ale . ",Communication_noise
"` I bleedin' owe you for that one , "" he growled at Joe . ",Communication_noise
"He growled at the attendant , by now quite tipsy , and demanded another meal . ",Communication_noise
She had taken to growling menacingly at the more impressionable of the remedials to keep herself occupied . ,Communication_noise
"` Who are you ? "" he growled at the stranger . ",Communication_noise
"` Get on with you then , do your laughing somewhere else , "" he growled at them . ",Communication_noise
"Put it back yourself if you like it round here , "" he growled at Threlfall , and pushed the teacher up the steps . ",Communication_noise
"The Maggot was growling to himself , relishing the confrontation . ",Communication_noise
"` Nineteen eighty three , "" he growled into the open firebox , ` would be the watershed ! "" ",Communication_noise
"` We 're dying of bloody thirst over ere , "" Billy 's voice growled from the fireplace . ",Communication_noise
"` Not in November , "" Robert growled from the side table where he liked to carve the meat himself . ",Communication_noise
"“ Out , ” the Maître d'Hôtel growled from by her ear . ",Communication_noise
