Sentences,Frame
"` Fifteen ! "" she hissed . ",Communication_noise
"` What are you doing ? "" she hissed . ",Communication_noise
"` Angalo ! "" he hissed . ",Communication_noise
""" Wait outside the office , "" he hissed . ",Communication_noise
“ You bastard ! ” she hissed . ,Communication_noise
"` Less of your lip , Robinson , "" hissed Swain . ",Communication_noise
"` Put the bloody thing down , Devlin , "" hissed Rohmer . ",Communication_noise
"` You 're mad , you 're crazy , you 're insane , "" hissed Jessica . ",Communication_noise
She turned on him and hissed that Bunny was watching . ,Communication_noise
"She hisses her disapproval , then snatches up the denims , and digs the key from one of the pockets . ",Communication_noise
She leaned forward to hiss the words in his ear . ,Communication_noise
Arghatun hissed the word . ,Communication_noise
From time to time she hissed instructions at teachers or senior girls . ,Communication_noise
"` I tell you it went down that last passage on the right , "" hissed Kring in a voice like the scrape of a blade over stone . ",Communication_noise
"` Quiet please in the wings ! "" hissed the Stage Manager . ",Communication_noise
"She hissed at Ariel to make him leave , and Ariel would wave him to keep his distance ; Jack did not mind . ",Communication_noise
Lily hissed at Charlie and darted to the prompt corner . ,Communication_noise
"` It 's two and a half guineas ! "" she hissed at Louise , who could tell that she was genuinely appalled . ",Communication_noise
"The women were starting to wail , when he hissed at them to be quiet . ",Communication_noise
"` Listen , "" he hissed as the porter walked on oblivious to what was happening behind him . ",Communication_noise
"She hissed back , ` We ca n't tell her , Peter ! ",Communication_noise
"Arabella Buckley hissed out the words , but Sven Hjerson thought it very likely they had been carried by the sticky breeze as far as the couple in the prow . ",Communication_noise
"` It 's like talking to a robot , "" Graham hissed then glanced at Jenkins and Laidlaw . ",Communication_noise
"A guard moved back , letting them pass , the door hissing open at their approach . ",Motion_noise
The driver 's door hissed open and the Anti-Rex stepped out . ,Motion_noise
Although Viking was lying quietly enough at the moment we could tell by the sudden gusts which hissed down from the high southern cliff that it was blowing quite hard on the weather side . ,Motion_noise
The door hissed shut . ,Motion_noise
"` What ? "" he roared as he leapt to his feet . ",Communication_noise
"The little girl , however , appeared to be roaring her approval as Punch proceeded to batter his wife and lay her by the baby 's side . ",Communication_noise
"` Woodford Square roared its approval , and the roar was heard in London and Washington . ",Communication_noise
In an outhouse the Rottweiler roared his rage at the intrusion . ,Communication_noise
The unique and unmistakeable characters roared their silent greeting up at him . ,Communication_noise
"` Where 's the boy ? "" roared Brown from the front seat . ",Communication_noise
"` You must be jokin' , Mister Mayor , "" roared Jake , ` Them 's guilty , o'course , guilty as guilty can be ! ",Communication_noise
"` The key ! "" roared Morse . ",Communication_noise
"When he roared for food at midnight , she attended to him herself . ",Communication_noise
"He roared in French at my three assailants , brandishing a huge club . ",Communication_noise
"` Secure it , man ! "" he roared . ",Communication_noise
“ What do you want ? ” he roared . ,Communication_noise
Rebels in pickup trucks laden with high-caliber guns roared into Tripoli throughout Monday .,Motion_noise
"But when the cheering rebel convoy roared into town Saturday afternoon , the tribesmen raised their arms in welcome and gave the victory sign .",Motion_noise
"A week ago , a lightning-caused wildfire roared within a quarter-mile of an explosives plant south of Salt Lake City .",Motion_noise
Three fires had roared down a canyon and converged on the facility .,Motion_noise
"Moments later , a gun truck bearing a wounded rebel roared in from Ajdabiya .",Motion_noise
"They used an antiaircraft gun to fire on U. S. helicopters that roared over the rooftops , until the Marines destroyed the weapon .",Motion_noise
"A day earlier , intense flames and heat twice roared over the lab 's underground emergency command headquarters , forcing those inside to flee for safety , according to Stanley Busboom , the lab 's safety director .",Motion_noise
"As he spoke , two ambulances roared past , sirens wailing , bound for the hospital in Ajdabiya .",Motion_noise
"The camel herd scattered as an aircraft , apparently a NATO jet , was heard roaring overhead .",Motion_noise
"` Stop telling me reasons why it ca n't be done , "" the Prince thundered , ` and get on and find a way . "" ",Communication_noise
"` Place the brat on the fire , "" he thundered . ",Communication_noise
"` Donna Frizzell , I thought better of you ! "" she thundered . ",Communication_noise
"` Roger Shallot , "" the magistrate thundered , ` we find you guilty of these terrible murders and so you must pay the full penalty of the law . ",Communication_noise
"` I have treated you with respect , "" he thundered . ",Communication_noise
"` Lord Altrincham is a bounder , "" thundered the Earl of Strathmore , ` he should be shot . "" ",Communication_noise
"` Sick , my eye , "" thundered Miss Lodsworth , ` That horse is n't sick , it 's dead drunk . ",Communication_noise
"` Big ? "" thundered Louis . ",Communication_noise
"` Sit down ! "" thundered Morse with immense authority ; and simply , silently Downes did as he was bidden . ",Communication_noise
He thundered the command at her . ,Communication_noise
"` Traitors out of the Kremlin , "" thundered the Communist Party leader , Gennady Zyuganov . ",Communication_noise
"` No "" thundered the vast majority of every poll conducted by newspapers , radio and television , members and public alike . ",Communication_noise
"I am resisting the temptation to thunder about AIDS being a judgment upon them , etc . ",Communication_noise
History was taught by a whiskery professor who thundered about the Origin and Destiny of Imperial Britain . ,Communication_noise
He was thundering at the hecklers . ,Communication_noise
"Father Peter thundered at the multitude , ` Shall ye speak of sin and not know the wrath of God ? "" ",Communication_noise
"` I 'm alone , "" he thundered at the television screen . ",Communication_noise
"And keep still , "" he thundered as Hilary wriggled futilely . ",Communication_noise
"The tow rope sprang taut , plucking the dinghy clear as the swell broke , thundering forward on to the waiting coral . ",Motion_noise
"A second Warlord thundered forward , and halted . ",Motion_noise
Exhilaration filled Roget as he thundered forward . ,Motion_noise
"He kicked the grey into a gallop , and it thundered across the grass , throwing up torn lichen and humus . ",Motion_noise
Great herds of horses thunder across the sweeping plains of Ellyrion . ,Motion_noise
"When the beachmaster is angered by a serious challenge , he thunders across the sand , humping and heaving his huge body with surprising speed and taking no notice whatever of what lies in his way . ",Motion_noise
"` Not so fast , "" she cried as they thundered along Rodney Street . ",Motion_noise
"As the coach thundered into Glasgow , the post-horn would be sounded and a blunderbuss fired into the air . ",Motion_noise
The latest crop of large men with large guns thundered into the studio and formed themselves into a chaotic firing squad . ,Motion_noise
"They thunder into the wasteground opposite , then stop and wait , itching for a fight with their pursuers . ",Motion_noise
"Barney , who had been deep in thought , spoke as the car thundered past the Berkeley Hunt kennels . ",Motion_noise
