Sentences,Frame
"Two small bottles of pills stood by his plate at the first evening meal , and naturally excited the professional interest of his uncle . ",Containers
"The almost empty bottle of Scotch was in keeping with Moore , and so was one glass . ",Containers
"He told her she was a fool , and wished her luck -- then he gave her a gold sovereign and a bottle of champagne as a farewell present . ",Containers
There was a boy there of my own age and we got drunk together at the far end of a room with a bottle of martini . ,Containers
"Pain had her in its grip again , but with the help of the black bottles of medicine she was able to conceal the worst of her suffering from her family . ",Containers
"The bottle of champagne took five attempts to break , the roses dropped , out of the two passing aircraft , missed the ceremony by 200 yards and the balloons drifted off downwind , unnoticed . ",Containers
"When the stewardess came round with cigarettes and miniature bottles of spirits and liqueurs , the St Basil 's party bought them eagerly . ",Containers
There was a half bottle of Pinot Gris . ,Containers
He dumped a bag of empty bottles on the bar . ,Containers
There was the remains of a quart of cider in front of the aspirin bottles on the shelf . ,Containers
"The athletes would pump up their compressed-air bottles themselves , beforehand . ",Containers
Daisy took another swig out of her bottle . ,Containers
"` I 'm just trying to get some perspective here , "" he said as I twisted the last coldness from my beer bottle . ",Containers
Boris gestured at the brandy bottle . ,Containers
"The voice seemed to seep through the seams of the farmhouse , echo up the mountains and ripple back around the flowers and empty champagne bottles . ",Containers
The whisky bottle was in full view . ,Containers
"He wandered out into the kitchen and took a pint of milk from the fridge , supping straight from the bottle . ",Containers
I picked up the bottle beside me and took another long swig . ,Containers
Lessingham had placed the bottle of claret on the hearth . ,Containers
A TODDLER was fighting for life last night after he swallowed a bottle of lethal acid at a doctor 's surgery . ,Containers
I order a bottle of Beaujolais . ,Containers
"` I 've bought a bottle of really nice sherry , and some wine . ",Containers
"He wanted an old-fashioned , grubby Place with old-fashioned glass bottles in the window . ",Containers
I had my cape over my shoulder and a milk bottle . ,Containers
Several residents have reported that their milk bottles have been torn open by birds . ,Containers
McQuaid always drank a bottle of whiskey in the house when he came . ,Containers
"He drove his Volvo to a beauty spot last month , drank most of a bottle of whisky and gassed himself with fumes from the car 's exhaust . ",Containers
A DOCTOR was fined £750 with £213 costs yesterday after a child visiting his surgery was left with severe internal burns when he drank from a bottle of acid that should have been locked away . ,Containers
This is decanted into a crystal bottle and your initials etched into the glass stopper . ,Containers
We relaxed into another large bottle of Cusqueño beer as Barry told me his story . ,Containers
"Piggy-wig was in the kitchen , Dionne opened a bottle of white wine and they sat in the elegant grey-blue lounge . ",Containers
Then sit back and relax by opening a chilled bottle of Guinness Original . ,Containers
"Jennie summed up the problem in an instant and walked along the row pouring a bottle of disinfectant on their injuries , doubling their pain . ",Containers
Vigno had thrown our clothes on to the floor and poured a bottle of aftershave over them before stuffing them back into our lockers to ferment . ,Containers
To alleviate this the amount taken from the stock bottle is reduced to a level which creates no discomfort and the remedy is continued using that dosage routine until an increase in dose is appropriate §282 . ,Containers
"Later when he was hungry , he ate three of them in a row , washed down with bottles of beer which he said he did n't much care for . ",Containers
I threw away my bottle of beer . ,Containers
Jack tried a bottle of beer . ,Containers
"The ketchup bottle cascaded out into a million glass fragments which showered down in slow motion ; floating and turning lazily like snowflakes , the light shivering in them like jewels . ",Containers
"Miss Honey found a tray and on it she put two mugs , the teapot , the half bottle of milk and a plate with the two slices of bread . ",Containers
Market research has told us that the average Punch reader is an ABC1 25-40-year-old male with a suspiciously large collection of unopened bottles of soda water . ,Containers
"They all , except Ella , took a pull at a stone bottle of fierce whisky . ",Containers
"Bottles of whisky and vodka stood on the mantelpiece of his room , often replaced . ",Containers
