Sentences,Frame
The response was terrific and it was obvious that much thought had gone into your replies . ,Desirability
"Dwyer , however , disagrees : ` Sure we have experienced an extremely demanding schedule , particularly over the past year which took in the World Cup , but this provides terrific experience for the younger players . "" ",Desirability
"Not only is this a thoroughly terrific experience , but The Bad Seeds give it their marvellously deadpan all . ",Desirability
"A terrific game of top-quality rugby , spoiled only by the ultra-fussiness of referee Jim Fleming . ",Desirability
` I think he has a terrific attitude to the game . ,Desirability
Tessa thought that putting the bite on people for fun-money was a terrific idea . ,Desirability
"` It 's a terrific idea ! "" ",Desirability
"The make-up did a terrific job , but could n't get rid of the two deep creases that ran from the corners of her mouth to her jawline , or the network of lines on her brow . ",Desirability
"` But Ian did a terrific job and the win was a real bonus for us . "" ",Desirability
"You 're doing a terrific job . "" ",Desirability
Our morning walk along the cliffs gave us terrific views of the secluded white sand bays dotted along the coastline followed by a few hours on Pompièrre beach where the locals meet to picnic . ,Desirability
"` They gave you a room with a terrific view . "" ",Desirability
"By the way , "" added the WPC , ` I thought you were terrific at the conference yesterday . ",Desirability
"Ex-King 's Cup player Robin Drysdale echoed the sentiments of many , at the conclusion of his first Series event at his club in Bracknell , when he said ` these events are terrific for the kids and I shall definitely be running one again next year . "" ",Desirability
But there is no sign of staleness : the performances at the Haymarket are terrific in their strength . ,Desirability
"I think you 'll look terrific in those hotpants , so let me buy them for you ? "" ",Desirability
The final icing on the cake is the beautifully-cut brass nut which looks terrific against the sunbursting . ,Desirability
"And , while none of the industrial townscapes could be described as pretty , he has a terrific eye . ",Desirability
"Its chassis offers terrific handling balance , great traction matched to positive brakes and accurate steering . ",Desirability
"You will undoubtedly see some terrific entertainment when this year 's show is screened on TV tonight -- most notably from the Bolshoi Ballet , and Michael Crawford 's extraordinarily moving rendition of Gethsemane from Jesus Christ Superstar . ",Desirability
The redhead was leggy and had a terrific figure . ,Desirability
It had been a terrific evening . ,Desirability
"Sikulu is a terrific musical , packed with song and dance , and bursting with energy and joy . ",Desirability
"If you do n't expect much , the bonuses are terrific . "" ",Desirability
"I mean , the line-up in the film was terrific , but as far as Yul Brynner was concerned there would have been no film without him . ",Desirability
"Grace , you 're terrific . "" ",Desirability
"The brilliantly inventive Robin Williams is terrific as the voice of Batty Korda , a cute but crazy bat . ",Desirability
"` Alex , it 'll be just terrific to see you again . "" ",Desirability
"14 year old Philip is said to have made a "" terrific "" recovery after falling from the same chair lift , but he keeps asking why it happened . ",Desirability
Jimmy was terrific at centre-half . ,Expertise
Finlay was terrific at doing that . ,Expertise
"The smart shopping areas of Hong Kong are very luxurious and quite expensive , a splendid place for window-shopping . ",Desirability
In fact she 's quite splendid altogether . ,Desirability
"Here , finely placed , above what is left of the old ramparts , is one of the town 's two quite splendid churches , the church of Sainte-Croix . ",Desirability
"His tread was firm , his aspect manly ; his voice was clear but rather high pitched for so splendid a body . ",Desirability
"On the same Toronto junket , following a rather splendid lunch at the Granite Club with a friend from CFRB , I met Roy Thomson for the first time . ",Desirability
The Delos was -- or had been -- a rather splendid yacht . ,Desirability
Topaz thought Almack 's rather dull after some of the splendid places she had visited . ,Desirability
"Is it slowly savoured and really enjoyed , a splendid taste to satisfy the hunger pangs ? ",Desirability
"Then we decorated the school ready for a really splendid children 's tea in the afternoon , which was usually followed by a lantern slide show in the evening for the parents , also very enjoyable . ",Desirability
"“ The detail in that house really is splendid , is n't it ? ” ",Desirability
"After a simply splendid lunch , Bari Logan introduced us to the art of long term preservation from the medical school anatomist 's point of view . ",Desirability
This was a simply splendid event yet again . ,Desirability
"Pitt , however , set a splendid example of calmness , placing his faith in the navy , and sober-minded citizens followed his lead . ",Desirability
We have some splendid examples of dedicated voluntary service among our awardees this afternoon . ,Desirability
