Sentences,Frame
His house is absolutely fantastic ! ,Desirability
"He had been surprised at how big she was , but she was absolutely fantastic . ",Desirability
The appreciation here has been absolutely fantastic . ,Desirability
"O K , I think that , it 's an absolutely fantastic system , please capitalise on it . ",Desirability
"If you missed the chance to win this fantastic three night stay in the Big Apple in our September issue , have a go NOW ! ",Desirability
"For me , this was really a fantastic prospect , for we were to live in a college where we were to have our own bedroom , bathroom and sitting-room , and all meals provided . ",Desirability
"For example , doing Earls Court , by the time of the last show the sound is really fantastic . "" ",Desirability
"` That was really fantastic ! "" she said . ",Desirability
"The response from the crowd was fantastic , but when he introduced me I was hardly conscious of their cheers . ",Desirability
"Ray Gosling : ` The response to the series was fantastic . "" ",Desirability
But what I heard at the same time was the most fantastic application of expression . ,Desirability
"` It was a fantastic experience and I loved every minute of it , "" says Ball . ",Desirability
"He reveres Cage for his rigorous search for simplicity , his fantastic openness to experiences and ideas . ",Desirability
"` It was a fantastic experience , and I remember taking a photograph of Harold Abrahams at the start of the 100 metres race that he won . ",Desirability
"DAVID Capper , the BBC Radio Ulster reporter with one of the best-known voices on the air , has just clinched himself a fantastic new job . ",Desirability
` Lennie Lawrence has done a fantastic job at Middlesbrough . ,Desirability
"Simone 's Studios command fantastic views of the coastline of mainland Greece and Albania , as they 're set up on a small hill looking out over the bay of Benitses . ",Desirability
"The hotel features a large swimming pool , a roomy poolside terrace with fantastic lakeside views , a dining room with waiter service ; English style breakfast is available . ",Desirability
The public will even be able to enjoy the fantastic views across the Thames from the tower itself . ,Desirability
"It 's fantastic that the boy is back . "" ",Desirability
"It is going to be a great atmosphere and it 's fantastic that between us we have sold 70,000 tickets . ",Desirability
"` It 's fantastic to have won at last , "" said Ingram . ",Desirability
This was fantastic for a little boy who had never seen such a toy . ,Desirability
I THINK his charisma and style of play have been fantastic for our tour and for golf in general . ,Desirability
` You 'd look fantastic in a wig and brocade jacket . ,Desirability
It was attractive but fantastic in its assumption that such employment could be provided in an age of widespread rural underemployment heightened by occasionally severe local unemployment . ,Desirability
"He 'd look fantastic in swimming trunks , with those long muscular legs and that broad expanse of chest . ",Desirability
"On the coast the weather is fantastic with day after day of hot sunshine , in the mountains however the air cools quickly and until the end of June you can still find snow on the mountain tops . ",Desirability
Anyone who raises money for St. John Ambulance in the 1991 ADT London Marathon will be entered into a prize draw to win a fantastic trip in our very own hot air balloon . ,Desirability
"As you 'll recall , in the March issue of the Clothes Show Magazine , Wella offered our readers the fantastic opportunity to win a complete hair makeover . ",Desirability
Val Pinder who has been away for some months due to illness achieves a fantastic level of sales and came in fourth . ,Desirability
"The lighting guy was Jules Fisher who was the top guy in New York and then doing straight Broadway musicals , and the crew was fantastic . ",Desirability
"The view from these peaks is fantastic , and with a couple of cable cars you do n't need to be a mountaineer to enjoy them . ",Desirability
"I know I was a bit rough on you , but it was pretty fantastic , was n't it ? "" ",Desirability
Towering mountains surround the village and the area around St Anton is fantastic for walking . ,Usefulness
The response was terrific and it was obvious that much thought had gone into your replies . ,Desirability
"Dwyer , however , disagrees : ` Sure we have experienced an extremely demanding schedule , particularly over the past year which took in the World Cup , but this provides terrific experience for the younger players . "" ",Desirability
"Not only is this a thoroughly terrific experience , but The Bad Seeds give it their marvellously deadpan all . ",Desirability
"A terrific game of top-quality rugby , spoiled only by the ultra-fussiness of referee Jim Fleming . ",Desirability
` I think he has a terrific attitude to the game . ,Desirability
Tessa thought that putting the bite on people for fun-money was a terrific idea . ,Desirability
"` It 's a terrific idea ! "" ",Desirability
"The make-up did a terrific job , but could n't get rid of the two deep creases that ran from the corners of her mouth to her jawline , or the network of lines on her brow . ",Desirability
"` But Ian did a terrific job and the win was a real bonus for us . "" ",Desirability
"You 're doing a terrific job . "" ",Desirability
Our morning walk along the cliffs gave us terrific views of the secluded white sand bays dotted along the coastline followed by a few hours on Pompièrre beach where the locals meet to picnic . ,Desirability
"` They gave you a room with a terrific view . "" ",Desirability
"By the way , "" added the WPC , ` I thought you were terrific at the conference yesterday . ",Desirability
"Ex-King 's Cup player Robin Drysdale echoed the sentiments of many , at the conclusion of his first Series event at his club in Bracknell , when he said ` these events are terrific for the kids and I shall definitely be running one again next year . "" ",Desirability
But there is no sign of staleness : the performances at the Haymarket are terrific in their strength . ,Desirability
"I think you 'll look terrific in those hotpants , so let me buy them for you ? "" ",Desirability
The final icing on the cake is the beautifully-cut brass nut which looks terrific against the sunbursting . ,Desirability
"And , while none of the industrial townscapes could be described as pretty , he has a terrific eye . ",Desirability
"Its chassis offers terrific handling balance , great traction matched to positive brakes and accurate steering . ",Desirability
"You will undoubtedly see some terrific entertainment when this year 's show is screened on TV tonight -- most notably from the Bolshoi Ballet , and Michael Crawford 's extraordinarily moving rendition of Gethsemane from Jesus Christ Superstar . ",Desirability
The redhead was leggy and had a terrific figure . ,Desirability
It had been a terrific evening . ,Desirability
"Sikulu is a terrific musical , packed with song and dance , and bursting with energy and joy . ",Desirability
"If you do n't expect much , the bonuses are terrific . "" ",Desirability
"I mean , the line-up in the film was terrific , but as far as Yul Brynner was concerned there would have been no film without him . ",Desirability
"Grace , you 're terrific . "" ",Desirability
"The brilliantly inventive Robin Williams is terrific as the voice of Batty Korda , a cute but crazy bat . ",Desirability
"` Alex , it 'll be just terrific to see you again . "" ",Desirability
"14 year old Philip is said to have made a "" terrific "" recovery after falling from the same chair lift , but he keeps asking why it happened . ",Desirability
The news is also terrific for giving the boys a window on the world . ,Usefulness
"Henningsvær is so quiet , and the sun so warming that a beer is absolutely necessary in a rather super establishment . ",Desirability
The Chicheley-Smythes have bought an absolutely super villa in Sardinia and say we could rent it if we 'd like to . ,Desirability
It looks absolutely super . ,Desirability
"` We 'll bring you a really super one back from America , "" promised her mother . ",Desirability
Hope Norman 's card arrives all right and that you have a really super weekend and party . ,Desirability
It promises to be a really super evening once again . ,Desirability
"When the clouds came we visited Beaulieu , travelled their monorail , rode a vintage bus and drooled over the super cars in the National Motor Museum . ",Desirability
"He used to take me to smashing places , had a super car , we 'd go to these posh pubs . ",Desirability
"You will have a super day out at any one of these , seeing many interesting birds , some very rare , in their natural habitats . ",Desirability
"In bright red and gold livery , the replica will make a charming addition to any collection and a super gift for adults and children alike . ",Desirability
"` And Jessica 's been a super mum . "" ",Desirability
"` It 's a super little shop , Mum -- just what I wanted . ",Desirability
"` He 's a super guy , the kind of person you 'd like your sister to go out with , "" one of his handlers said . ",Desirability
"Barney was a super person and brilliant at his scientist job , but otherwise a trifle absent-minded and generally helpless . ",Desirability
"On a hot summer day , Toftingall is a super place for a splash and my golden retriever , Breac , the gaelic name for trout , used to spend hours in the loch . ",Desirability
"St Jovite 's trainer Jim Bolger was n't disappointed ; ` It was a super race and you must expect it hard against horses as good as this . "" ",Desirability
"Tim Thomson Jones is considering the Welsh National for Keep Talking , whose super season last term culminated in success in the National Hunt Chase . ",Desirability
"Customers can benefit from expert advice given by friendly staff , plus there is a super selection of plants and high-quality furniture . ",Desirability
"150 runners up will receive a copy of The Taste of Chocolate , a super selection of Cadbury confectionery and Cadbury 's Milk Tray chocolates . ",Desirability
"` It is super to have a purpose-built unit for the elderly and , indeed , to be opening a new hospital at all . ",Desirability
"` Which is why it 's so super that he agreed to this interview , "" she quickly covered her slip . ",Desirability
"His mouth was even more super when he laughed , she decided , and quickly turned her head to face the front -- she could never remember noticing a man 's mouth so much before . ",Desirability
Somerwest is super for swimmers . ,Desirability
"I look super with it on though , really grown-up . ",Desirability
