Sentences,Frame
` I 'm not fantastic at English so all the students know they have to speak French in my classes . ,Expertise
"`` He was a fantastic skater , an artistic skater .",Expertise
`` Welcome home Endeavour after a fantastic record-setting mission .,Expertise
`` He 's been a fantastic ambassador for the game and still is . '',Expertise
"`` Like a Shadow '' is pleasantly bouncy , and a fantastic guitar solo brings life to `` Your Love Is Killing Me . ''",Expertise
"SIR Donald Tsang Kam-yuen last Wednesday gave a fantastic performance as a confident , committed and caring Financial Secretary .",Expertise
"`` He had a fantastic race , '' Buser said at the finish .",Expertise
He more than anything wanted to be remembered as one fantastic player . '',Expertise
Towering mountains surround the village and the area around St Anton is fantastic for walking . ,Usefulness
Jimmy was terrific at centre-half . ,Expertise
Finlay was terrific at doing that . ,Expertise
The news is also terrific for giving the boys a window on the world . ,Usefulness
"The kings ( or rather , queens ) of slave-owners are the Amazon ants , who are splendid at killing and enslaving other ants but have grown so dependent on their slaves that they can not dig their own nests , care for their young or even get their own food . ",Expertise
For reproducing or doubling alto and tenor lines the French horn is splendid in its ability to sustain a velvet tone . ,Usefulness
Not for the first time she thought her father would have made a wonderful actor . ,Expertise
James Woods will only say : ` She 's a little offbeat but she 's a wonderful actress and a beautiful girl . ,Expertise
Bernie was wonderful at making us think all that through . ,Expertise
De Valois too is wonderful at reconstructing a period . ,Expertise
"James and Geraldine Hanson were , as always , wonderful in going round introducing their guests , and the place was soon buzzing with happy chatter . ",Expertise
She told Julia only that the doctor had been wonderful in finding her son and in promising to let him live in the Campo San Maurizio . ,Expertise
"My dog is , however , scrupulously clean and wonderful with my two young children . ",Expertise
She 's absolutely wonderful with the children . ,Expertise
"She was wonderful at her job and utterly unaware that she was fabulous to look at -- tall , slim , with a skin like magnolia blossom and astonishing hair . ",Expertise
"But there is the chance of working with Cicely Berry , who is so wonderful at adding in a positive , performance orientated way to all the things you have learnt about voice . ",Expertise
"` He 's very gifted , wonderful at languages , good at voices and good-looking , He 's a smashing kid and he 's very musical . ",Expertise
We have a member at the Club who is wonderful at alterations . ,Expertise
High Mages are wonderful in defence and against daemons . ,Expertise
"There we are , in Lundhags , a Swedish boot that is wonderful for its purpose but looks like a refugee prop from a Boris Karloff Frankenstein film , and oddly coloured clothes , rolling about . ",Usefulness
I ca n't vouch for this hotel but it looked wonderful for a romantic weekend . ,Usefulness
"Now the old-fashioned , strong hessian is wonderful for keeping you warm and dry and John always sported three sacks -- one round his waist , another over his shoulders , and the third with the corner pushed in for a hood over his head . ",Usefulness
The Venetians fortified their main towns -- Naxos Town and Antiparos Town are wonderful examples of this -- creating labyrinths of narrow alleys and cul-de-sacs that were designed to confuse and to demoralize invaders .,Usefulness
And the Germans have always been excellent at map-reading . ,Expertise
Children are excellent at repetition to get what they want . ,Expertise
She was not at all narrowly fixed on a rigidly academic education ; her warm and vigorous personality made her excellent at public relations and the promotion of her school in the outside world . ,Expertise
"He was excellent at listening , and did it without cynicism . ",Expertise
"She was excellent at getting to know people , especially in one to one relationships . ",Expertise
"Dyring the championship year , Dorigo and Whyte proved excellent at anticipating the long ball , nipping in , and knocking it back . ",Expertise
There 's little doubt she would be excellent in the job . ,Expertise
"Chick peas have a deliciously nutty flavour and are excellent for vegetarian casseroles and salads , as well as being the basis for hummus , a very popular Mediterranean dip . ",Usefulness
"My favourite black pepper is the telicherry berry , which is hot and pungent and excellent for general cooking and for use whole in marinades . ",Usefulness
"Exercise that requires a limited sort of movement , such as walking or jogging , may be excellent for stamina but is not useful for suppleness . ",Usefulness
Kirchberg has a small lake which is excellent for both swimming and boating . ,Usefulness
Walking and swimming are also excellent for releasing tension . ,Usefulness
Earthworms are excellent for this purpose . ,Usefulness
"These are excellent at bruise management , but they are quite expensive and are not re-usable . ",Usefulness
Swimming : Some of the hotels have their own pools ; the lake is excellent for bathing . ,Usefulness
You could try using a serum -- these non-sticky liquids are excellent for smoothing the cuticles and wrapping hair in shine . ,Usefulness
This little utility for Windows 3. x is excellent for keeping track of your hard disc space . ,Usefulness
"The location is excellent for walking , and well situated for touring the abbeys and chateaux of the Bordeaux and Bergerac regions . ",Usefulness
"The result will be tremendous for travelling , it comes up smiling after washing and is extremely elegant for any occasion . ",Usefulness
"Nicky Haslam is generally acknowledged as a superb story-teller , who judges his audience beautifully . ",Expertise
"It is an area I have visited many times , especially the coastal areas which are superb for walking . ",Usefulness
The FAX is superb for sending any number of FAXES and ( unless you have a dedicated line ) for receiving occasional FAXES . ,Usefulness
