Sentences,Frame
The doctor followed me almost immediately and injected my grandfather in the back of his hand . ,Filling
"Alan Hirst , 39 , who has a rare allergy , injected himself with adrenalin after he was stung at Bawtry , Doncaster . ",Filling
"Murray , he alleged , then had gone to the bothy next door where he had injected three men with heroin . ",Filling
Mr Goldring claimed Allitt had injected her with insulin and said a test after her death had found a high level of the drug in her blood . ,Filling
Mr Goldring claimed she had injected one baby with potassium . ,Filling
Teams of scuba divers have injected thousands of them with copper . ,Filling
In Dalby the victim injected herself . ,Filling
"He put 10ml into the syringe , closed his eyes and injected the patient . ",Filling
"While this generally does not matter when cells are injected , solutions may leak into tissues other than that intended for labelling . ",Filling
The ministry revealed that in experiments one pig had developed spongiform encephalopathy after its brain had been injected with BSE-infected tissue from a cow brain . ,Filling
"Last week the Government warned that around 300 women who 'd been injected with a hormone called gonadotrophin , extracted from the pituitary glands of human corpses , could be at risk . ",Filling
They have been injected with an insoluble luminous dye to help sell the fish . ,Filling
Some of the males were injected with morphine for a few days and some were given other drugs . ,Filling
"Mungo nodded , calling to mind a diabetic schoolfriend who had to inject himself daily . ",Filling
"Drug abusers who inject themselves risk catching hepatitis ( a serious blood disease ) and many other infections , abscesses and even gangrene . ",Filling
"In rats injected intraperitoneally with bFGF , the number of capillaries almost doubled and the number of myofibroblasts was significantly increased ( by about 30% ) . ",Filling
"The ministry has faced criticism for permitting the sale of milk produced by cows injected with the experimental , genetically engineered drug BST as the identity of farms and dairies taking part in the experiments is kept secret . ",Filling
The time mice injected with material from the trained rats take to enter the dark box is compared with that for animals injected with ‘ naïve ’ material . ,Filling
To demonstrate that learning and memory retention can be improved in animals injected with peptides and tested under highly contrived laboratory conditions is very different from showing that human memory can be helped by popping a pill . ,Filling
"Supermice have been grown , injected with rat growth hormone ; and similar transfer of human genes , for quick growth , to cattle , sheep and pigs became a possibility . ",Filling
Two female New Zealand White rabbits were each injected with approximately 100µg of RAP74 or 300µg of RAP30 a week after preimmune serum had been bled . ,Filling
"Though , personally , she felt as if someone had injected her brain with a paralysing solution . ",Filling
Animals that are venomous secrete toxic matter and inject it by biting or stinging or by some other means . ,Placing
"Almost 20 per cent , the longer-term ` career "" users , had injected heroin from the start . ",Placing
"Moreover , snakes never inject all their venom in a single strike , so that they are always ready to bite their prey or attacker again . ",Placing
Professor Edward Hitchcock took cells from an aborted foetus and he injected them inside Mr Davies 's brain . ,Placing
For liquids a hypodermic syringe is used to inject the liquid through a rubber cap into a gas syringe heated so as to vaporise the liquid . ,Placing
Mr Mackie claimed he had later progressed to heroin and that Murray had again injected the drug to him . ,Placing
The best hope is to keep the patient quiet and inject the appropriate anti-venin . ,Placing
"The Macmillan government applied to join , the Heath government signed the treaty as it was , but at that stage basically the nation states retained the veto process which had been injected by de Gaulle into the original treaty . ",Placing
"When it is injected into the human body , it disperses throughout the living tissue , until it is removed by normal functions . ",Placing
"The cooling effect is due to large amounts of material being injected into the stratosphere , preventing the sun 's heat reaching the ground . ",Placing
He campaigned vigorously against the use of drugs and injected new life and efficiency into sports administration . ,Placing
"Virgin 's boss , a millionaire before he was 21 , stressed that the multi-nationals should stop laying people off and inject some risk capital into the country . ",Placing
"It injected a further DM24,000 million over two years into the eastern economy . ",Placing
"Injected into the brain in high enough doses , such antibiotics will also stop most of the brain 's RNA or protein synthesis for a period of some hours . ",Placing
SPECIAL cement injected into damaged vertebrae is the latest cure for backache . ,Placing
"The vaccine is administered by aerosol , it 's not injected in , so it 's just a matter of really spraying the vaccine in . ",Placing
