Sentences,Frame
"He claimed the ball had hit his bat , the square-leg umpire agreed and he was recalled , much to the chagrin of the bowler , Ian Beven . ",Impact
"In the 12th minute , Oliver Schafer fired a low angled shot past Chris Woods only to see the ball hit a post . ",Impact
"The day after the first bombs hit Baghdad , Israel aimed a $100m deep-discounted zero-coupon issue at small investors in North America . ",Impact
HILTON : A suspected IRA bomb hit the ground floor -- but no-one was hurt ,Impact
"They tried to shoot me , but the bullets hit the table . ",Impact
A bullet hit a rock three yards in front of him . ,Impact
18 months ago he was on a family day out when his father 's car hit a lorry . ,Impact
"A sergeant 's car was hit , and two shots were fired at an inspectors vehicle . ",Impact
Two teenagers were hurt when their car hit a telegraph pole in Cleveland . ,Impact
"They set off quite cheerily , but when they were within a few miles of the tarmac coast road , the truck hit a gully and gave a sickening lurch . ",Impact
"As the truck was about to hit him , the Doctor turned the steering wheel sharply and drove along the hedge , avoiding the cursing figure . ",Impact
"Eddie says to me : ` Brother Brad , when the waves are hitting the bath-house , you do n't go out "" . ' ",Impact
"Then a big wave hit the side of the ship , and salt water flew into his face . ",Impact
"A big wave hit the ship with a terrible crash and Daniel , Captain Humble and the young sailor held onto the wall . ",Impact
"Canoeists , surfers and support boat skippers braced themselves as the wave hit . ",Impact
It was as though a giant hand were pushing me downward until my knees hit the floor . ,Impact
“ The plane hit the seventh floor of the apartment building . ,Impact
She slipped forward out of the chair and hit the floor in a dead faint . ,Impact
The pilot died of a heart attack in the air and he was probably dead before his aircraft hit the ground . ,Impact
A small piece of lichen covered stone flaked under his hand and hit the ground at their feet . ,Impact
"A spray of trotter-bone pegs hit the ground and bounced into the darkness , followed by the crack and snap of thin flags flipping and breaking . ",Impact
I walked across to collect it and something hit me very hard indeed in the back . ,Impact
"The bulb had obviously been hit hard so as to break its filament , to ensure no warning light came on . ",Impact
The guard hit the far wall and slid to the floor . ,Impact
"They sat him down roughly on the outside bench , and his head hit the wall with a thud . ",Impact
"Once established on a final glide-approach to the field the pilot realised that the aircraft was likely to hit a stone wall and attempted to ` stretch "" the glide . ",Impact
The lorry jackknifed and hit a stone wall causing serious injuries to the driver . ,Impact
Two pellets hit a seven-year-old girl playing outside . ,Impact
"The Middle East International of Jan. 24 reported that three guerrillas died in the raid , and also that Israeli rockets hit a nearby shanty town killing at least nine women and children . ",Impact
A mother and her four children have been badly hurt when a train hit their van on an unmanned level crossing . ,Impact
The water hit her body like stones . ,Impact
"His family is suing the Kenyan government over his death from a fractured skull after the vehicle veered on to the wrong side of the road on 3 August , hitting the couple from behind . ",Impact
On the last line he slumped against the bar and his arm hit the coffin . ,Impact
"The plane dipped down and its starboard wing hit the water , flinging off Mr Treweek . ",Impact
"The shop 's owner Andrew Lazarus , 25 , said : ` Lulu was hit by flying glass and want sprawling on the floor . ",Impact
Bill 's nightmare started when he was taken to hospital after being hit by a car as he returned home from a fishing trip . ,Impact
The city is hit by war bombs and destroyed . ,Impact
"The chain snapped on and there was a thump as Brian was hit , then some more noise and Abu Salim stormed out . ",Impact
"Helmut Mahlke , was hit in the starboard wing by an A.A. burst , and only by luck and much skill was he able to regain Sicily and land safely . ",Impact
Then my head hit something else and I realized it was one of Armstrong 's rear tyres . ,Impact
"Lieutenant Justin Freeland , 25 , hit in the arm by shrapnel , said : ` I would very much liked to have returned fire but we could not pinpoint the enemy . "" ",Impact
A STAR ballerina hit in the face by an airgun pellet has been told : Dance one more pirouette and it could blind you . ,Impact
"He watched the body hit in a spray of snow then turned away , the roar of the wind abating as he drew the hatch closed behind him . ",Impact
They were scarcely damaged when hit by bombers during the Gulf war . ,Impact
It 's amazing how far a body can be thrown when it 's hit by a fast-moving vehicle . ,Impact
A friend of mine was in an underground computer center in downtown SF when the quake hit .,Impact
12:06 a.m. HRH : I was in the Berkeley Main library when it hit .,Impact
"12:38 a.m. DAYAC : I was driving my truck , stopped at a red light at the corner of Shattuck and Alcatraz at the Oakland-Berkeley border when it hit .",Impact
Video games have provided one of the last refuges from the ubiquitous advertising that hits consumers from every direction .,Impact
Reality hit when he was unable to reconcile with his wife and ended up on the street .,Impact
It hits me as I fumble the keys for the door .,Impact
"Seth rushed over , but as he leaned over her , something hit him in the back of the head .",Impact
"While waiting for it to hit bottom , a goat suddenly darted between them and leapt into the hole !",Impact
Whatever hits the fan will not be evenly distributed .,Impact
"With every shovelful of dirt that hit his back , the donkey was doing something amazing .",Impact
"The blood flashed into flames as soon as it hit the ground , and I jumped back .",Impact
A heavy thing hit my arm with a thump and knocked me back against someone with rough paws who held me up .,Impact
We must 've hit the reef !,Impact
"Bloosh , spotted in both X-Men and Superman , is the sound a body makes when hitting the water and sinking .",Impact
"Third , those units that had been ordered at 8:53 to stage at the Brooklyn - Battery Tunnel -and thus very close to the WTC complex-were not dispatched after the plane hit the South Tower .",Impact
The bovine bounced off the truck and was hit by another pickup .,Impact
"At that moment , no one appears to have thought a second plane could hit the South Tower .",Impact
"Armageddon , about an asteroid hitting the earth , still seems likely to make more money by summer 's end .",Impact
"With all best wishes to Sanford , it 's foolhardy for him to say , `` I 've survived this scourge , '' and that because of the advent of protease inhibitors , `` I am probably more likely to be hit by a truck than to die of AIDS . ''",Impact
Another commercial aircraft in the vicinity then radioed in with `` reports over the radio of a commuter plane hitting the World Trade Center . '',Impact
"At approximately the same time , however , the barrel of bricks hit the ground and the bottom fell out of the barrel .",Impact
"The Aggi replied , `` Me be very , very quiet , me follow tracts , me shot , me get hit by train ...",Impact
Law of Probability Dispersal : Whatever it is that hits the fan will not be evenly distributed .,Impact
I noticed when my back hit the wall that I was walking backwards .,Impact
QUARTERMASTER : Must 've hit a reef .,Impact
"All the children now hit the top of the pack to ` turn their card over "" . ",Cause_impact
"And when I hit those chords really hard , there was none of that fluttering noise and so the rhythm parts became a little spankier sounding . ",Cause_impact
"It 's obviously a reasonably-sized practice/small gig amp , but even so the limiter comes in really quickly -- perhaps because my style is to hit the strings really hard . ",Cause_impact
I raised my hand to my eyes wondering how I could have hit it so hard . ,Cause_impact
I hit my pillow so hard that it has looked reproachful ever since . ) ,Cause_impact
Immediately Holmes jumped up and hit the bell-rope hard . ,Cause_impact
I 'm hitting my head repeatedly against something that is n't there and I suppose that that could be a definition of insanity . ,Cause_impact
"She flies back and forth in her cage as much as it 's possible , dashing her talons against the bars and hitting her beak against the top . ",Cause_impact
"` Are you admitting I 've hit the nail on the head ? "" ",Cause_impact
"The idea is to hit atoms head-on with laser beams , slowing them down . ",Cause_impact
