Sentences,Frame
"Rain hissed against the tyres , and the beat of the wipers became almost hypnotic . ",Impact
Thunder grumbled somewhere in the sky again and rain hissed at the windows . ,Impact
"Takeaway business was brisk and the espresso machine howled and hissed almost constantly for a steady traffic of hard-looking , fast-talking men with tattoos and torn jeans . ",Make_noise
The air hissed slightly as the Tuthanach whirled slings . ,Make_noise
"At every third stroke he ran the brush over the teeth of the curry comb with a shimmering , rasping sound , hissing gently through his teeth all the time . ",Make_noise
The gas lamp hissed gently above them and the coke stirred softly in the range . ,Make_noise
"Black steam-pipes criss-cross the 1,000 acres as they always have done , hissing here and there through open valves . ",Make_noise
It will hiss and bubble like a cauldron . ,Make_noise
"Several young men hissed and whistled , much to Elaine 's delight . ",Make_noise
The faceless ones knew the villain had been introduced and they wanted to hiss and boo . ,Make_noise
The terminals in front of John hissed and sparked . ,Make_noise
"The rock hissed and cracked ; here and there a stone flew up , and the steam rose like smoke . ",Make_noise
"Once the machine was hissing and the aroma of coffee was spreading through the flat Rain tossed her bag on the couch , kicked off her sandals and opened the doors to the garden . ",Make_noise
"He raged at the futility of it , and shouted for help as his blade hissed and crunched , but his arms were tiring and he could feel blood running down inside his tunic . ",Make_noise
"The taffeta rustled as it received the pricking needle , hissed as she pulled the thread through ; out of sight pigeons chortled and cooed on the roof . ",Make_noise
"Somewhere below , angry serpents of stabilising jets hissed as automatics restored the balance . ",Make_noise
Spectators booed and hissed as the colony 's new Governor -- former Tory Home Secretary David Waddington -- stepped forward to honour 24-year-old Diana Mitchell . ,Make_noise
The steak was hissing in the frying pan and he was slicing Chinese leaf on the kitchen table when the doorbell rang . ,Make_noise
Markby sat glowering at the gas fire which had dulled its bright flames and hissed in a soft insistent way . ,Make_noise
"But she did not answer him , only bent and lowered herself into the water , hissing as the coldness burned into the wound , a faint moan escaping through her gritted teeth as she began to wash . ",Make_noise
"It hisses like a snake , growls like a carnivore and snaps out at its tormenter . ",Make_noise
He reached for the door control and the lock hissed with the release of compressed air . ,Make_noise
"He scrambled to his feet , throwing his cloak aside and hissing at the stiff pain of his collarbone . ",Make_noise
Gesell hissed through his teeth . ,Make_noise
He shifted his damp bottom and the planks hissed . ,Make_noise
The light was hissing . ,Make_noise
Vent valves along serpentine pipes hissed . ,Make_noise
The robot 's loudspeaker crackled and hissed . ,Make_noise
"The song finished , and the loudspeakers just hissed . ",Make_noise
Half an hour later the door clanged open and Kaas entered . ,Impact
Eric 's guitar sounded like two steel rail wagons clanging together in a Chicago freight yard at 4am . ,Impact
"Once more the long gleaming blades clanged together , the clear bell-like notes of their joyous battle song sounding loud in the high-walled arena of death . ",Impact
A bullet clanged monstrously loud on a brass barrel and ricocheted up into the sky . ,Impact
"The car 's hydraulics soughed as they tried to compensate for the sudden shift of the bubble but against that gale they were all but useless , and the bubble-canopy clanged on the car 's shell . ",Impact
"Sword clanged on stone , and Fedorov cursed as it jarred his wrist . ",Impact
