Sentences,Frame
"Some days , when it 's damp , he has to use the stick inside , too , and I can hear him clacking about the uncarpeted rooms and corridors of the house ; a hollow noise , going from place to place . ",Motion_noise
"just as cliché haunted Henry 's daily journey to the train , his socks from Marks and Spencers ' , his regular nightly bedtime , his fondness for a cup of tea at ten thirty in the evening , just as he seemed to be destined to be as remorselessly English as the plane trees in the street outside or the homecoming commuters clacking through the twilight towards the village , so his one existential act ( had n't someone called it that ? ) seemed destined for suburban predictability . ",Motion_noise
"Guy heard the sound of bad-tempered heels clacking away across flagstones , and relaxed slightly . ",Motion_noise
"A typewriter clacked away as an aide took a lawyer 's statement about a land dispute , one of dozens the police station has handled .",Make_noise
"Looms in Bangladesh are clacking , and the country is producing fabric for fashions , their own native style or haute couture , guided by experts like Russell , who designs and supervises quality control .",Make_noise
By afternoon their Geiger counter clacked off the scale as a 100-by-30-mile ( 160-by-48 kilometer ) blanket of radioactivity arrived .,Make_noise
The clacking in the next room had stopped .,Make_noise
"As one , the six typewriters began clacking again , not perhaps quite so loudly as their operators strained to hear the rest of the conversation .",Make_noise
"In the background , teletype machines clacked and a bank of television monitors showed different pictures , some of which were material being fed through to the station .",Make_noise
"A guard moved back , letting them pass , the door hissing open at their approach . ",Motion_noise
The driver 's door hissed open and the Anti-Rex stepped out . ,Motion_noise
Although Viking was lying quietly enough at the moment we could tell by the sudden gusts which hissed down from the high southern cliff that it was blowing quite hard on the weather side . ,Motion_noise
The door hissed shut . ,Motion_noise
"Takeaway business was brisk and the espresso machine howled and hissed almost constantly for a steady traffic of hard-looking , fast-talking men with tattoos and torn jeans . ",Make_noise
The air hissed slightly as the Tuthanach whirled slings . ,Make_noise
"At every third stroke he ran the brush over the teeth of the curry comb with a shimmering , rasping sound , hissing gently through his teeth all the time . ",Make_noise
The gas lamp hissed gently above them and the coke stirred softly in the range . ,Make_noise
"Black steam-pipes criss-cross the 1,000 acres as they always have done , hissing here and there through open valves . ",Make_noise
It will hiss and bubble like a cauldron . ,Make_noise
"Several young men hissed and whistled , much to Elaine 's delight . ",Make_noise
The faceless ones knew the villain had been introduced and they wanted to hiss and boo . ,Make_noise
The terminals in front of John hissed and sparked . ,Make_noise
"The rock hissed and cracked ; here and there a stone flew up , and the steam rose like smoke . ",Make_noise
"Once the machine was hissing and the aroma of coffee was spreading through the flat Rain tossed her bag on the couch , kicked off her sandals and opened the doors to the garden . ",Make_noise
"He raged at the futility of it , and shouted for help as his blade hissed and crunched , but his arms were tiring and he could feel blood running down inside his tunic . ",Make_noise
"The taffeta rustled as it received the pricking needle , hissed as she pulled the thread through ; out of sight pigeons chortled and cooed on the roof . ",Make_noise
"Somewhere below , angry serpents of stabilising jets hissed as automatics restored the balance . ",Make_noise
Spectators booed and hissed as the colony 's new Governor -- former Tory Home Secretary David Waddington -- stepped forward to honour 24-year-old Diana Mitchell . ,Make_noise
The steak was hissing in the frying pan and he was slicing Chinese leaf on the kitchen table when the doorbell rang . ,Make_noise
Markby sat glowering at the gas fire which had dulled its bright flames and hissed in a soft insistent way . ,Make_noise
"But she did not answer him , only bent and lowered herself into the water , hissing as the coldness burned into the wound , a faint moan escaping through her gritted teeth as she began to wash . ",Make_noise
"It hisses like a snake , growls like a carnivore and snaps out at its tormenter . ",Make_noise
He reached for the door control and the lock hissed with the release of compressed air . ,Make_noise
"He scrambled to his feet , throwing his cloak aside and hissing at the stiff pain of his collarbone . ",Make_noise
Gesell hissed through his teeth . ,Make_noise
He shifted his damp bottom and the planks hissed . ,Make_noise
The light was hissing . ,Make_noise
Vent valves along serpentine pipes hissed . ,Make_noise
The robot 's loudspeaker crackled and hissed . ,Make_noise
"The song finished , and the loudspeakers just hissed . ",Make_noise
The F2B creaked through a 180-degree turn and began photographing another strip . ,Motion_noise
"As the door of the empty box creaked open in the wind , Liz heard the phone ringing , ringing . ",Motion_noise
The door creaked open . ,Motion_noise
"The sluice gates holding back a bottomless reservoir of blood are creaking open , spattering the country with thick , viscous dollops . ",Motion_noise
Billy was still laughing when the lavatory door creaked open and Selwyn pushed aside the loganberry bush and stepped out ,Motion_noise
"To me , it also rang of the distinct possibility that it would not creak open again -- and that the next sound would be that of quickly hammered nails ! ",Motion_noise
The big white creaks upright and stands flexing his hands . ,Motion_noise
"Creaking up from her knees , Miss Lodsworth snorted with indignation . ",Motion_noise
"British bankers , who only months ago felt locked into problem property loans , now see a bit of sky as the prison door creaks open . ",Motion_noise
Then the door creaked open an inch or two . ,Motion_noise
Jamie 's stairs creak every one in three . ,Make_noise
"Leaning back so that the chair creaked alarmingly , he held her watch up , dangling it to and fro by the strap , his expression neutral . ",Make_noise
"` Yes , we 're consulting quite closely , "" Dr Greene nodded , his swivel chair creaking importantly as he rocked his rather bulky body slowly back and forth . ",Make_noise
The chair creaked alarmingly under his weight . ,Make_noise
It was a rather rickety affair that creaked embarrassingly when I sat down in it and ever after when I moved . ,Make_noise
"The last step but one creaked protestingly and she grimaced apprehensively , her body almost turning to stone as she waited for Dane to suddenly appear and demand to know what she was doing . ",Make_noise
The chair creaked slightly . ,Make_noise
They creak only slightly as they open . ,Make_noise
The little helicopter creaked slightly as it relaxed on to its skids and then a kind of ear-splitting silence settled around it as the rotors drifted to a halt . ,Make_noise
"We went slowly through them in low gear , rolling like a ship in a heavy sea , our rigging of ropes , which lashed all the bags in place , creaking loudly . ",Make_noise
"Loose boards will creak annoyingly as you walk over them , and raised edges or pronounced warping may show as lines through your new floorcovering . ",Make_noise
"It smelled of age rather than leather when he lowered himself on to it , rising dust spoiling the air , the material itself creaking dryly . ",Make_noise
"His mother would sit with him , knitting , occupying a rocking chair which creaked regularly as she moved it . ",Make_noise
"The pew creaked when Keith sat down , and Stella looked across the aisle . ",Make_noise
His shell began to creak and shake . ,Make_noise
On the river the vessels creaked and groaned as a gust of wind caught them . ,Make_noise
"No-one was certain if any hanging had really taken place but on cold , windy nights the tree would creak and moan , startling those who happened to be passing by . ",Make_noise
"The table creaked and seemed to come alive , and the taps followed . ",Make_noise
Ruth tried not to show her terror when the timbers creaked and moaned like tormented spirits and she could hear the waves breaking on the deck above them . ,Make_noise
Underfoot the ice creaked and groaned dubiously : we were over the sea . ,Make_noise
"Roads are congested , bridges creak and sewers seep . ",Make_noise
The great wooden chalet creaked and resonated like a galleon in full sail . ,Make_noise
"Above them , the branches of the oak tree were beginning to creak and sway . ",Make_noise
The trees creak and sigh . ,Make_noise
"Around him , sleepers creaked and girders groaned as they took the weight of the approaching train . ",Make_noise
I sat down on Frank 's bed and it creaked and sagged . ,Make_noise
Above us the old house creaked and groaned . ,Make_noise
The leather creaked but the hooves were silent in the snow . ,Make_noise
The drawer creaked as it came open . ,Make_noise
The policeman 's shoes creaked as he shifted his weight . ,Make_noise
"Blanche 's chair creaked as she leant forward , hands on her knees . ",Make_noise
The planks above him creaked as Simon hoisted himself inside . ,Make_noise
"` We keep a welcome for all , "" said Francie in his voice which creaked through lack of use . ",Make_noise
"He started to come up the stairs , the boards creaking under his weight , and Danielle braced herself , determined not to do anything that could annoy or upset him . ",Make_noise
A loose sheet of metal on the roof of a shed down the railway line flapped and creaked in a puff of pre-dawn wind . ,Make_noise
"In the field a bit clinked in a horse 's mouth , a saddle creaked under the rider 's weight . ",Make_noise
"Above me , the gaily painted signs of the taverns and food shops creaked in the wind and mocked my hunger . ",Make_noise
"Stairs of dark wood curved up from the hall , and the old treads creaked under their combined weight . ",Make_noise
"Ivan toppled towards me , creaking like a rusty hinge . ",Make_noise
The old house creaked in its joints like an old dog settling down for the night . ,Make_noise
A distant floorboard creaked . ,Make_noise
"The kitchen clock croaked and creaked , seeming to match the uneven rhythm of his heart . ",Make_noise
"He stood up , his bones creaking , and went to the kitchen window to take the blackout frame down . ",Make_noise
"The floorboards groaned , the narrow stairs creaked . ",Make_noise
Dexter watched the shadows of the trees play over the panels of the door of the kiosk as it creaked shut behind Blanche . ,Make_noise
Rebels in pickup trucks laden with high-caliber guns roared into Tripoli throughout Monday .,Motion_noise
"But when the cheering rebel convoy roared into town Saturday afternoon , the tribesmen raised their arms in welcome and gave the victory sign .",Motion_noise
"A week ago , a lightning-caused wildfire roared within a quarter-mile of an explosives plant south of Salt Lake City .",Motion_noise
Three fires had roared down a canyon and converged on the facility .,Motion_noise
"Moments later , a gun truck bearing a wounded rebel roared in from Ajdabiya .",Motion_noise
"They used an antiaircraft gun to fire on U. S. helicopters that roared over the rooftops , until the Marines destroyed the weapon .",Motion_noise
"A day earlier , intense flames and heat twice roared over the lab 's underground emergency command headquarters , forcing those inside to flee for safety , according to Stanley Busboom , the lab 's safety director .",Motion_noise
"As he spoke , two ambulances roared past , sirens wailing , bound for the hospital in Ajdabiya .",Motion_noise
"The camel herd scattered as an aircraft , apparently a NATO jet , was heard roaring overhead .",Motion_noise
