,Frame1,Frame2,Accuracy
0,Leadership,Appellations,1
1,Communication_noise,Make_noise,0.893089961
2,Absorb_heat,Apply_heat,0.777777778
3,Impact,Cause_impact,0.905198777
4,Desirability,Expertise,0.533156499
5,Filling,Placing,0.580508475
6,Motion_noise,Make_noise,0.956097561
7,Cause_to_make_noise,Make_noise,1
8,Containers,Measure_volume,0.997858672
9,Desirability,Usefulness,0.308035714
10,Impact,Make_noise,0.701986755
11,Cause_expansion,Expansion,1
12,Impact,Motion_noise,0.553459119
13,Change_of_consistency,Cause_change_of_consistency,1
14,Communication_noise,Motion_noise,0.788359788
15,Expertise,Usefulness,0.526315789
16,Apply_heat,Cooking_creation,1
17,Cause_to_move_in_place,Moving_in_place,1
,,,0.80676916
